model,category,rationale,n_splits,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,pr_auc_mean,pr_auc_std,pr_auc_ci95,brier_mean,brier_std,brier_ci95
HistGradientBoosting,梯度提升树模型,以逐步拟合残差的方式捕捉非线性特征组合。,20,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Random Forest,树集成模型,通过自助采样和特征随机化降低单棵树方差。,20,0.975,0.0433,0.019,0.95,0.1,0.0438,0.9833,0.0726,0.0318,0.9614,0.0678,0.0297,1.0,0.0,0.0,1.0,0.0,0.0,0.0391,0.0235,0.0103
Soft Voting Ensemble,校准集成模型,融合线性、树模型和神经网络输出，降低单模型偶然性。,20,0.965,0.0477,0.0209,0.9125,0.1192,0.0523,1.0,0.0,0.0,0.95,0.0681,0.0299,1.0,0.0,0.0,1.0,0.0,0.0,0.0342,0.0193,0.0085
Linear SVM,基础间隔模型,通过最大间隔边界检验线性可分性。,20,0.96,0.049,0.0215,0.9125,0.1192,0.0523,0.9833,0.0726,0.0318,0.94,0.0745,0.0326,0.9833,0.0377,0.0165,0.9669,0.0837,0.0367,0.056,0.0311,0.0136
MLP,浅层神经网络,通过非线性隐层学习材料描述符之间的组合关系。,20,0.955,0.0589,0.0258,0.8925,0.1353,0.0593,1.0,0.0,0.0,0.9375,0.0798,0.035,0.9929,0.0227,0.01,0.9861,0.0452,0.0198,0.037,0.0459,0.0201
Extra Trees,强随机树集成模型,使用更强随机切分增强小样本稳定性。,20,0.955,0.0589,0.0258,0.905,0.1331,0.0583,0.9833,0.0726,0.0318,0.9346,0.0835,0.0366,0.9929,0.0227,0.01,0.9892,0.0334,0.0147,0.061,0.0333,0.0146
Logistic Regression,基础线性模型,可解释的线性分类基线。,20,0.895,0.0805,0.0353,0.7733,0.1481,0.0649,0.9833,0.0726,0.0318,0.8577,0.1022,0.0448,0.9571,0.0561,0.0246,0.9058,0.1327,0.0581,0.1594,0.027,0.0118
Gaussian Naive Bayes,概率基线模型,在小样本条件下提供低方差概率基线。,20,0.83,0.1005,0.044,0.6689,0.1486,0.0651,1.0,0.0,0.0,0.7925,0.1031,0.0452,0.9631,0.0576,0.0252,0.9083,0.1465,0.0642,0.1558,0.0907,0.0397
